skills,interests,work_style,career_path
python,data analysis,independent,Data Analyst
python,machine learning,independent,Machine Learning Engineer
statistics,math,independent,Data Scientist
communication,content creation,creative,Social Media Manager
design,creativity,creative,UI/UX Designer
research,deep thinking,independent,AI Researcher
javascript,web development,team,Frontend Developer
python,backend,team,Backend Developer
management,leadership,team,Product Manager
analytics,business,team,Business Analyst
